word,color,congruency,expected,repeat_index,Stroop_text.text,Stroop_text.color,Stroop_keyboard.correct,Stroop_keyboard.name,Stroop_keyboard.rt,participant,session,date,expName,psychopyVersion,frameRate,
red,red,congruent,red,1,red,red,True,left,0.46809051430318505,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
red,green,incongruent,green,1,red,green,True,down,0.4010651085700374,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
red,blue,incongruent,blue,1,red,blue,True,right,0.4480290178908035,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
red,yellow,incongruent,yellow,1,red,yellow,True,up,0.29627127485582605,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
green,red,incongruent,red,1,green,red,False,down,0.3558767826179974,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
green,green,congruent,green,1,green,green,False,up,0.3856245966453571,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
green,blue,incongruent,blue,1,green,blue,False,left,0.44140423834323883,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
green,yellow,incongruent,yellow,1,green,yellow,False,right,0.28332056434010155,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
blue,red,incongruent,red,1,blue,red,False,up,0.369303235958796,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
blue,green,incongruent,green,1,blue,green,False,right,0.2967228683119174,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
blue,blue,congruent,blue,1,blue,blue,False,down,0.3781956425809767,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
blue,yellow,incongruent,yellow,1,blue,yellow,False,left,0.30825238762190565,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
yellow,red,incongruent,red,1,yellow,red,True,left,0.430087837332394,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
yellow,green,incongruent,green,1,yellow,green,False,up,2.8327081661554985,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
yellow,blue,incongruent,blue,1,yellow,blue,True,right,1.6137082766508684,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
yellow,yellow,congruent,yellow,1,yellow,yellow,True,up,0.7063193502544891,,001,2020_Nov_15_1006,,2020.1.3,59.963833965703785,
